[ 4][t 4][1758618412.893361568][FileManager.cpp:2301][#1][!Td]	Have x_node->pmc_id_ = 0, y_node->pmc_id_ = 155, x_node_size = 1, y_node_size = 1, node_i = 1, local_i = 2, remote_i = 2, generate_i = 2, size_i = 2, remote_name_i = 1, url_i = 1, owner_i = 2, encryption_key_i = 2, main_file_id_i = 1, trusted_by_source = 1, x_source = Binlog, y_source = Server
[ 4][t 4][1758618412.893362998][FileManager.cpp:1643][#1][!Td]	Forget file 11256(0)
[ 3][t 4][1758618412.893365144][FileManager.cpp:2051][#1][!Td]	Choose between [Thumbnail, DcId{4}, [file_reference:AGjSYyxI/XQ/V3di6AixFN2aLodY], location = [ID = 5765839908065248157, access_hash = -4415934745473198082, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] from Binlog and [Thumbnail, DcId{4}, [file_reference:AGjSYyxI/XQ/V3di6AixFN2aLodY], location = [ID = 5765839908065248157, access_hash = -4415934745473198082, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] from Server
[ 3][t 4][1758618412.893366813][FileManager.cpp:1789][#1][!Td]	Register [Thumbnail, DcId{4}, [file_reference:AGjSYyxI/XQ/V3di6AixFN2aLodY], location = [ID = 5765839908065248157, access_hash = -4415934745473198082, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] as 11256(0)
[ 3][t 4][1758618412.893368721][FileManager.cpp:2219][#1][!Td]	Merge new file 11256(0) and old file 11005(0)
[ 3][t 4][1758618412.893369913][FileManager.cpp:2051][#1][!Td]	Choose between [Thumbnail, DcId{4}, [file_reference:AGjSYyxI/XQ/V3di6AixFN2aLodY], location = [ID = 5765839908065248157, access_hash = -4415934745473198082, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] from Binlog and [Thumbnail, DcId{4}, [file_reference:AGjSYyxI/XQ/V3di6AixFN2aLodY], location = [ID = 5765839908065248157, access_hash = -4415934745473198082, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] from Server
[ 4][t 4][1758618412.893371820][FileManager.cpp:2301][#1][!Td]	Have x_node->pmc_id_ = 0, y_node->pmc_id_ = 197, x_node_size = 1, y_node_size = 1, node_i = 1, local_i = 2, remote_i = 2, generate_i = 2, size_i = 2, remote_name_i = 1, url_i = 1, owner_i = 2, encryption_key_i = 2, main_file_id_i = 1, trusted_by_source = 1, x_source = Binlog, y_source = Server
[ 4][t 4][1758618412.893374681][FileManager.cpp:1643][#1][!Td]	Forget file 11256(0)
[ 3][t 4][1758618412.893375873][AnimationsManager.cpp:172][#1][!Td]	Ignore animation 11006(11006) of size (320, 238)
[ 3][t 4][1758618412.893378019][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYywkqOPydRqq4+tlfQWKcY2E], location = [ID = 5986456323473015541, access_hash = -4148257802724304077]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYywkqOPydRqq4+tlfQWKcY2E], location = [ID = 5986456323473015541, access_hash = -4148257802724304077]] from Server
[ 3][t 4][1758618412.893379449][FileManager.cpp:1789][#1][!Td]	Register [Animation, DcId{4}, [file_reference:AGjSYywkqOPydRqq4+tlfQWKcY2E], location = [ID = 5986456323473015541, access_hash = -4148257802724304077]] as 11256(0)
[ 3][t 4][1758618412.893380880][FileManager.cpp:2219][#1][!Td]	Merge new file 11256(0) and old file 11008(0)
[ 3][t 4][1758618412.893382310][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYywkqOPydRqq4+tlfQWKcY2E], location = [ID = 5986456323473015541, access_hash = -4148257802724304077]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYywkqOPydRqq4+tlfQWKcY2E], location = [ID = 5986456323473015541, access_hash = -4148257802724304077]] from Server
[ 4][t 4][1758618412.893383741][FileManager.cpp:2301][#1][!Td]	Have x_node->pmc_id_ = 0, y_node->pmc_id_ = 316, x_node_size = 1, y_node_size = 1, node_i = 1, local_i = 2, remote_i = 2, generate_i = 2, size_i = 2, remote_name_i = 1, url_i = 1, owner_i = 2, encryption_key_i = 2, main_file_id_i = 1, trusted_by_source = 1, x_source = Binlog, y_source = Server
[ 4][t 4][1758618412.893385410][FileManager.cpp:1643][#1][!Td]	Forget file 11256(0)
[ 3][t 4][1758618412.893386840][FileManager.cpp:2051][#1][!Td]	Choose between [Thumbnail, DcId{4}, [file_reference:AGjSYywkqOPydRqq4+tlfQWKcY2E], location = [ID = 5986456323473015541, access_hash = -4148257802724304077, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] from Binlog and [Thumbnail, DcId{4}, [file_reference:AGjSYywkqOPydRqq4+tlfQWKcY2E], location = [ID = 5986456323473015541, access_hash = -4148257802724304077, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] from Server
[ 3][t 4][1758618412.893388509][FileManager.cpp:1789][#1][!Td]	Register [Thumbnail, DcId{4}, [file_reference:AGjSYywkqOPydRqq4+tlfQWKcY2E], location = [ID = 5986456323473015541, access_hash = -4148257802724304077, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] as 11256(0)
[ 3][t 4][1758618412.893389940][FileManager.cpp:2219][#1][!Td]	Merge new file 11256(0) and old file 11007(0)
[ 3][t 4][1758618412.893392324][FileManager.cpp:2051][#1][!Td]	Choose between [Thumbnail, DcId{4}, [file_reference:AGjSYywkqOPydRqq4+tlfQWKcY2E], location = [ID = 5986456323473015541, access_hash = -4148257802724304077, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] from Binlog and [Thumbnail, DcId{4}, [file_reference:AGjSYywkqOPydRqq4+tlfQWKcY2E], location = [ID = 5986456323473015541, access_hash = -4148257802724304077, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] from Server
